DATAFLOW,LAST UPDATE,freq,src_crf,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Belgium,1997,14.4,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Belgium,1998,14.8,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Belgium,1999,14.2,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Belgium,2000,14.3,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Belgium,2001,14.1,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Belgium,2002,14.0,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Belgium,2003,14.0,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Belgium,2004,14.0,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Belgium,2005,13.7,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Belgium,2006,13.3,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Belgium,2007,12.9,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Belgium,2008,12.8,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Belgium,2009,11.6,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Belgium,2010,12.2,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Belgium,2011,11.1,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Belgium,2012,10.8,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Belgium,2013,10.7,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Belgium,2014,10.1,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Belgium,2015,10.5,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Belgium,2016,10.3,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Belgium,2017,10.2,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Belgium,2018,10.2,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Belgium,2019,10.1,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Belgium,2020,9.2,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Belgium,2021,9.4,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Belgium,2022,8.8,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Belgium,2023,8.3,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Bulgaria,1990,9.4,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Bulgaria,1991,7.4,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Bulgaria,1992,6.9,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Bulgaria,1993,6.8,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Bulgaria,1994,6.4,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Bulgaria,1995,6.6,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Bulgaria,1996,6.8,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Bulgaria,1997,6.4,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Bulgaria,1998,6.0,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Bulgaria,1999,5.2,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Bulgaria,2000,5.0,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Bulgaria,2001,5.8,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Bulgaria,2002,5.6,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Bulgaria,2003,6.3,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Bulgaria,2004,6.1,,
ESTAT:SDG_13_10(1.0),13/05/25 23:00:00,Annual,Total (excluding memo items),Tonnes per capita,Bulgaria,2005,6.1,,
